TripID,PickupZoneID,DropoffZoneID,PickupDateTime,DistanceKm,FareAmount
1000145,ZONE009,ZONE076,2025-12-21 13:50,15.9,195.34
1000146,ZONE069,ZONE092,2025-12-22 10:33,15.2,150.85
1000147,ZONE033,ZONE014,2025-12-23 19:43,20.7,204.4
1000148,ZONE044,ZONE037,2025-12-20 02:30,30.9,303.14
1000149,ZONE087,ZONE045,2025-12-25 10:06,34.2,404.77
1000150,ZONE081,ZONE002,2025-12-23 10:41,45.0,370.84
1000151,ZONE085,ZONE014,2025-12-21 00:04,7.2,81.56
1000152,ZONE047,ZONE020,2025-12-21 12:37,5.6,53.47
1000153,ZONE085,ZONE012,2025-12-19 03:55,20.6,242.48
1000154,ZONE046,ZONE043,2025-12-22 16:57,48.6,469.67
1000155,ZONE033,ZONE055,2025-12-20 00:07,8.9,101.14
1000156,ZONE034,ZONE037,2025-12-24 01:15,49.3,540.15
1000157,ZONE066,ZONE061,2025-12-22 03:46,26.5,282.9
1000158,ZONE006,ZONE096,2025-12-21 03:06,33.1,286.57
1000159,ZONE007,ZONE022,2025-12-22 17:37,19.4,166.71
1000160,ZONE040,ZONE005,2025-12-19 06:34,41.4,391.9
1000161,ZONE013,ZONE090,2025-12-21 04:46,35.6,290.75
1000162,ZONE019,ZONE080,2025-12-19 01:51,40.2,433.78
1000163,ZONE091,ZONE005,2025-12-23 03:34,2.9,31.65
1000164,ZONE070,ZONE092,2025-12-20 07:08,35.5,300.81
1000165,ZONE004,ZONE099,2025-12-24 22:45,41.6,416.48
1000166,ZONE092,ZONE038,2025-12-24 01:10,36.8,387.68
1000167,ZONE069,ZONE056,2025-12-23 11:07,22.8,232.31
1000168,ZONE100,ZONE070,2025-12-25 16:02,19.9,170.85
1000169,ZONE062,ZONE013,2025-12-21 21:16,4.9,51.49
1000170,ZONE002,ZONE025,2025-12-22 15:10,29.4,240.91
1000171,ZONE007,ZONE014,2025-12-21 13:23,11.0,111.24
1000172,ZONE060,ZONE088,2025-12-22 08:08,1.3,18.86
1000173,ZONE090,ZONE023,2025-12-24 17:41,14.6,165.52
1000174,ZONE091,ZONE059,2025-12-20 08:17,35.1,301.41
1000175,ZONE021,ZONE098,2025-12-24 09:22,11.6,134.6
1000176,ZONE001,ZONE060,2025-12-24 00:04,18.7,194.83
1000177,ZONE028,ZONE091,2025-12-25 14:22,34.6,392.26
1000178,ZONE091,ZONE078,2025-12-23 06:02,11.8,124.77
1000179,ZONE099,ZONE018,2025-12-22 04:18,40.2,367.45
1000180,ZONE015,ZONE015,2025-12-21 07:46,35.7,383.95
1000181,ZONE052,ZONE071,2025-12-21 13:56,17.3,158.34
1000182,ZONE100,ZONE037,2025-12-23 22:43,1.1,17.2
1000183,ZONE042,ZONE021,2025-12-21 14:31,3.3,42.62
1000184,ZONE039,ZONE011,2025-12-25 09:04,31.6,323.43
1000185,ZONE072,ZONE009,2025-12-22 19:47,47.9,532.73
1000186,ZONE087,ZONE040,2025-12-20 12:55,29.8,293.88
1000187,ZONE022,ZONE042,2025-12-21 05:05,1.8,20.01
1000188,ZONE023,ZONE095,2025-12-25 14:51,14.9,159.13
1000189,ZONE090,ZONE088,2025-12-19 19:54,13.3,117.63
1000190,ZONE076,ZONE095,2025-12-20 19:57,18.3,208.55
1000191,ZONE092,ZONE067,2025-12-25 14:05,27.9,308.3
1000192,ZONE078,ZONE100,2025-12-19 04:06,34.7,402.28
1000193,ZONE067,ZONE022,2025-12-20 23:31,31.6,370.93
1000194,ZONE043,ZONE003,2025-12-24 11:38,22.8,249.37
1000195,ZONE077,ZONE089,2025-12-21 16:01,37.5,438.94
1000196,ZONE055,ZONE007,2025-12-21 15:52,38.4,391.32
1000197,ZONE088,ZONE039,2025-12-19 09:30,34.8,293.47
1000198,ZONE041,ZONE019,2025-12-21 11:16,18.9,203.32
1000199,ZONE075,ZONE060,2025-12-20 15:30,45.1,396.98
1000200,ZONE091,ZONE058,2025-12-22 11:34,27.0,290.86
1000201,ZONE054,ZONE050,2025-12-20 07:32,43.5,445.38
1000202,ZONE083,ZONE027,2025-12-21 15:17,36.8,387.85
1000203,ZONE048,ZONE008,2025-12-20 21:52,17.9,175.12
1000204,ZONE099,ZONE009,2025-12-24 22:54,31.9,324.96
1000205,ZONE013,ZONE022,2025-12-21 16:03,41.1,485.56
1000206,ZONE090,ZONE013,2025-12-23 08:32,0.7,12.22
1000207,ZONE085,ZONE009,2025-12-19 10:37,34.4,295.37
1000208,ZONE079,ZONE042,2025-12-20 16:52,32.3,274.76
1000209,ZONE083,ZONE079,2025-12-21 16:08,37.4,315.32
1000210,ZONE099,ZONE019,2025-12-24 00:08,23.1,201.38
1000211,ZONE082,ZONE016,2025-12-22 01:05,32.8,366.23
1000212,ZONE005,ZONE026,2025-12-23 03:47,11.9,140.28
1000213,ZONE003,ZONE023,2025-12-20 15:39,25.2,272.84
1000214,ZONE024,ZONE035,2025-12-25 12:07,46.2,457.39
1000215,ZONE018,ZONE003,2025-12-19 06:18,2.9,34.3
1000216,ZONE077,ZONE004,2025-12-19 22:39,5.0,60.9
1000217,ZONE087,ZONE016,2025-12-24 00:46,37.3,406.08
1000218,ZONE080,ZONE097,2025-12-21 19:03,1.6,18.72
1000219,ZONE046,ZONE048,2025-12-23 20:15,34.0,357.26
1000220,ZONE061,ZONE079,2025-12-22 02:40,20.1,199.4
1000221,ZONE032,ZONE095,2025-12-23 07:30,7.2,78.84
1000222,ZONE035,ZONE061,2025-12-23 21:43,47.9,420.28
1000223,ZONE081,ZONE033,2025-12-25 04:25,39.0,428.28
1000224,ZONE059,ZONE079,2025-12-20 13:07,8.2,71.98
1000225,ZONE072,ZONE088,2025-12-24 18:49,32.1,369.03
1000226,ZONE006,ZONE020,2025-12-25 06:44,40.4,385.9
1000227,ZONE050,ZONE017,2025-12-22 07:49,43.7,481.35
1000228,ZONE096,ZONE068,2025-12-22 18:53,7.0,77.63
1000229,ZONE044,ZONE097,2025-12-21 04:56,1.2,19.03
1000230,ZONE060,ZONE028,2025-12-20 22:50,23.2,230.88
1000231,ZONE086,ZONE054,2025-12-23 06:54,23.5,257.52
1000232,ZONE040,ZONE016,2025-12-21 08:47,28.8,327.44
1000233,ZONE097,ZONE058,2025-12-20 15:05,6.1,77.77
1000234,ZONE003,ZONE075,2025-12-20 14:02,30.6,286.47
1000235,ZONE069,ZONE033,2025-12-21 16:41,13.7,165.6
1000236,ZONE041,ZONE078,2025-12-19 15:32,6.9,63.41
1000237,ZONE044,ZONE013,2025-12-21 06:13,6.2,63.96
1000238,ZONE031,ZONE021,2025-12-22 03:30,15.6,172.74
1000239,ZONE039,ZONE010,2025-12-21 04:47,12.4,117.32
1000240,ZONE078,ZONE075,2025-12-21 16:39,0.9,15.38
1000241,ZONE020,ZONE006,2025-12-24 16:01,14.0,167.35
1000242,ZONE042,ZONE001,2025-12-23 14:29,3.2,32.45
1000243,ZONE040,ZONE071,2025-12-25 02:37,3.7,45.83
1000244,ZONE079,ZONE034,2025-12-24 00:25,47.7,430.31
1000245,ZONE045,ZONE041,2025-12-21 19:58,9.9,113.78
1000246,ZONE058,ZONE027,2025-12-22 07:26,35.8,335.47
1000247,ZONE099,ZONE061,2025-12-21 22:56,13.8,140.68
1000248,ZONE037,ZONE058,2025-12-24 19:40,35.1,340.74
1000249,ZONE033,ZONE096,2025-12-25 03:01,36.7,317.78
1000250,ZONE046,ZONE029,2025-12-25 02:21,17.3,145.28
1000251,ZONE090,ZONE076,2025-12-23 00:18,32.1,269.16
1000252,ZONE041,ZONE019,2025-12-23 08:50,24.1,203.84
1000253,ZONE065,ZONE029,2025-12-25 06:11,26.6,307.56
1000254,ZONE086,ZONE028,2025-12-22 12:21,41.4,357.5
1000255,ZONE032,ZONE072,2025-12-24 22:14,3.8,50.49
1000256,ZONE074,ZONE049,2025-12-22 21:32,47.5,410.21
1000257,ZONE020,ZONE009,2025-12-24 15:36,25.9,285.78
1000258,ZONE024,ZONE026,2025-12-24 18:51,28.3,303.43
1000259,ZONE081,ZONE057,2025-12-24 09:08,7.2,81.5
1000260,ZONE043,ZONE086,2025-12-22 06:20,48.7,498.11
1000261,ZONE017,ZONE054,2025-12-21 02:00,40.2,340.36
1000262,ZONE035,ZONE068,2025-12-23 16:17,12.4,133.87
1000263,ZONE072,ZONE044,2025-12-19 04:22,38.7,359.14
1000264,ZONE043,ZONE052,2025-12-23 12:35,3.6,43.25
1000265,ZONE006,ZONE039,2025-12-23 23:18,8.2,87.36
1000266,ZONE025,ZONE076,2025-12-22 05:28,8.0,76.53
1000267,ZONE050,ZONE005,2025-12-23 04:54,46.3,507.73
1000268,ZONE019,ZONE071,2025-12-19 07:47,20.9,253.73
1000269,ZONE079,ZONE090,2025-12-23 15:41,4.0,50.42
1000270,ZONE062,ZONE061,2025-12-19 02:28,43.8,386.36
1000271,ZONE030,ZONE093,2025-12-18 22:54,44.4,396.4
1000272,ZONE019,ZONE017,2025-12-23 09:28,35.0,424.19
1000273,ZONE071,ZONE024,2025-12-18 18:29,46.9,424.52
1000274,ZONE036,ZONE023,2025-12-22 03:13,14.3,123.14
1000275,ZONE084,ZONE068,2025-12-20 08:05,41.9,414.8
1000276,ZONE100,ZONE047,2025-12-21 07:31,28.4,314.85
1000277,ZONE095,ZONE044,2025-12-24 07:10,13.4,146.77
1000278,ZONE016,ZONE049,2025-12-20 07:10,30.9,375.65
1000279,ZONE035,ZONE072,2025-12-18 20:59,21.0,216.95
1000280,ZONE057,ZONE099,2025-12-22 10:03,5.5,68.7
1000281,ZONE004,ZONE096,2025-12-19 07:51,2.4,28.18
1000282,ZONE095,ZONE044,2025-12-25 04:21,24.4,269.87
1000283,ZONE004,ZONE038,2025-12-20 07:17,45.1,389.58
1000284,ZONE026,ZONE076,2025-12-18 21:46,2.7,32.24
1000285,ZONE001,ZONE046,2025-12-23 19:00,19.1,184.07
1000286,ZONE051,ZONE003,2025-12-23 17:34,9.2,97.39
1000287,ZONE044,ZONE059,2025-12-25 14:35,12.8,126.88
1000288,ZONE044,ZONE092,2025-12-20 11:59,15.6,156.44
1000289,ZONE091,ZONE008,2025-12-24 20:50,11.1,137.04
1000290,ZONE100,ZONE071,2025-12-19 08:08,9.9,85.68
1000291,ZONE053,ZONE021,2025-12-24 04:52,2.3,25.25
1000292,ZONE064,ZONE032,2025-12-21 19:17,36.3,349.34
1000293,ZONE046,ZONE021,2025-12-25 13:54,16.2,175.26
1000294,ZONE069,ZONE090,2025-12-22 08:34,32.4,348.69
1000295,ZONE093,ZONE037,2025-12-18 17:07,25.3,248.66
1000296,ZONE017,ZONE078,2025-12-25 04:24,22.9,192.37
1000297,ZONE020,ZONE063,2025-12-25 13:02,5.1,52.99
1000298,ZONE021,ZONE071,2025-12-22 18:36,32.6,386.39
1000299,ZONE083,ZONE090,2025-12-20 17:29,36.8,383.32
1000300,ZONE038,ZONE050,2025-12-23 01:04,6.1,56.28
1000301,ZONE008,ZONE048,2025-12-21 11:49,1.3,18.41
1000302,ZONE076,ZONE006,2025-12-24 07:15,0.8,13.85
1000303,ZONE093,ZONE063,2025-12-19 13:53,22.6,247.87
1000304,ZONE019,ZONE043,2025-12-20 15:58,48.8,511.77
1000305,ZONE045,ZONE045,2025-12-21 21:10,18.7,160.42
1000306,ZONE023,ZONE023,2025-12-21 15:39,45.6,490.03
1000307,ZONE044,ZONE022,2025-12-18 20:26,6.4,75.89
1000308,ZONE038,ZONE008,2025-12-21 23:15,47.7,491.66
1000309,ZONE096,ZONE005,2025-12-22 04:23,35.3,421.65
1000310,ZONE019,ZONE046,2025-12-23 10:58,31.1,282.82
1000311,ZONE081,ZONE025,2025-12-23 07:21,29.6,251.19
1000312,ZONE076,ZONE066,2025-12-23 02:10,45.9,429.67
1000313,ZONE083,ZONE077,2025-12-22 10:59,33.6,401.0
1000314,ZONE074,ZONE076,2025-12-19 04:46,3.9,49.35
1000315,ZONE020,ZONE001,2025-12-25 05:15,32.7,290.35
1000316,ZONE043,ZONE077,2025-12-24 19:19,40.2,405.25
1000317,ZONE042,ZONE007,2025-12-23 12:02,25.8,224.92
1000318,ZONE010,ZONE096,2025-12-22 02:00,18.3,212.23
1000319,ZONE017,ZONE040,2025-12-20 21:09,31.6,313.24
1000320,ZONE067,ZONE073,2025-12-23 05:36,23.7,197.34
1000321,ZONE043,ZONE093,2025-12-22 23:33,38.8,388.45
1000322,ZONE034,ZONE060,2025-12-21 14:17,27.0,289.73
1000323,ZONE077,ZONE078,2025-12-25 10:05,41.6,480.21
1000324,ZONE003,ZONE005,2025-12-23 06:46,33.3,307.88
1000325,ZONE059,ZONE048,2025-12-25 03:12,47.0,401.26
1000326,ZONE050,ZONE094,2025-12-22 17:40,32.8,367.43
1000327,ZONE053,ZONE069,2025-12-21 21:04,16.0,151.76
1000328,ZONE032,ZONE058,2025-12-21 05:39,13.4,137.01
1000329,ZONE098,ZONE041,2025-12-23 15:12,10.9,104.34
1000330,ZONE063,ZONE011,2025-12-19 14:04,10.9,112.65
1000331,ZONE009,ZONE033,2025-12-24 15:39,16.0,174.46
1000332,ZONE073,ZONE074,2025-12-20 12:15,16.2,140.7
1000333,ZONE051,ZONE036,2025-12-20 11:21,17.3,205.55
1000334,ZONE046,ZONE003,2025-12-23 00:48,0.7,11.8
1000335,ZONE042,ZONE045,2025-12-22 07:02,46.9,395.69
1000336,ZONE051,ZONE083,2025-12-25 10:16,11.4,125.49
1000337,ZONE096,ZONE024,2025-12-21 09:09,6.9,64.29
1000338,ZONE007,ZONE071,2025-12-24 23:50,31.2,350.62
1000339,ZONE032,ZONE095,2025-12-23 02:12,18.8,219.12
1000340,ZONE044,ZONE073,2025-12-22 12:46,5.8,69.42
1000341,ZONE019,ZONE057,2025-12-24 00:16,45.7,376.58
1000342,ZONE076,ZONE038,2025-12-20 05:47,5.1,48.18
1000343,ZONE066,ZONE025,2025-12-20 08:02,34.9,288.71
1000344,ZONE059,ZONE086,2025-12-23 07:57,41.5,432.1
1000345,ZONE065,ZONE084,2025-12-22 10:53,20.5,188.7
1000346,ZONE014,ZONE084,2025-12-23 16:32,30.1,315.61
1000347,ZONE099,ZONE021,2025-12-18 20:59,26.0,265.5
1000348,ZONE031,ZONE030,2025-12-24 14:26,28.7,252.49
1000349,ZONE020,ZONE096,2025-12-25 09:36,30.5,344.04
1000350,ZONE041,ZONE073,2025-12-21 16:49,43.4,450.71
1000351,ZONE100,ZONE081,2025-12-18 16:42,20.1,218.24
1000352,ZONE067,ZONE074,2025-12-23 18:58,49.4,523.06
1000353,ZONE007,ZONE084,2025-12-19 17:12,43.4,379.9
1000354,ZONE071,ZONE004,2025-12-19 21:15,19.5,187.06
1000355,ZONE025,ZONE016,2025-12-22 02:14,33.0,370.89
1000356,ZONE065,ZONE025,2025-12-23 07:06,45.6,510.44
1000357,ZONE010,ZONE048,2025-12-21 05:01,46.0,447.43
1000358,ZONE001,ZONE090,2025-12-25 06:40,35.9,332.59
1000359,ZONE070,ZONE042,2025-12-24 02:32,20.7,175.12
1000360,ZONE045,ZONE068,2025-12-22 14:09,7.1,65.62
1000361,ZONE005,ZONE048,2025-12-21 14:01,13.6,121.25
1000362,ZONE033,ZONE015,2025-12-22 17:10,23.7,227.65
1000363,ZONE084,ZONE031,2025-12-18 22:27,42.5,383.77
1000364,ZONE001,ZONE100,2025-12-21 11:28,37.8,451.62
1000365,ZONE022,ZONE057,2025-12-22 02:27,7.6,77.13
1000366,ZONE021,ZONE066,2025-12-23 14:51,13.7,169.22
1000367,ZONE025,ZONE057,2025-12-24 22:25,2.4,32.85
1000368,ZONE032,ZONE019,2025-12-20 15:53,24.1,215.29
1000369,ZONE057,ZONE036,2025-12-19 00:14,21.9,183.97
1000370,ZONE064,ZONE023,2025-12-22 18:11,28.8,282.25
1000371,ZONE065,ZONE085,2025-12-25 16:08,43.0,495.25
1000372,ZONE071,ZONE079,2025-12-22 13:17,4.8,62.41
1000373,ZONE063,ZONE035,2025-12-21 06:22,29.3,324.95
1000374,ZONE051,ZONE013,2025-12-19 01:00,19.0,212.94
1000375,ZONE060,ZONE042,2025-12-19 11:15,28.0,288.13
1000376,ZONE077,ZONE038,2025-12-22 21:46,5.1,59.74
1000377,ZONE024,ZONE035,2025-12-24 22:17,20.0,242.88
1000378,ZONE064,ZONE093,2025-12-20 09:45,39.3,404.4
1000379,ZONE054,ZONE054,2025-12-19 00:04,16.9,154.79
1000380,ZONE096,ZONE073,2025-12-20 18:06,29.8,361.45
1000381,ZONE015,ZONE082,2025-12-22 01:15,8.6,77.54
1000382,ZONE094,ZONE084,2025-12-21 11:53,10.2,120.43
1000383,ZONE089,ZONE022,2025-12-22 12:42,4.6,48.08
1000384,ZONE032,ZONE099,2025-12-21 22:56,48.3,439.18
1000385,ZONE051,ZONE022,2025-12-22 10:00,31.0,362.86
1000386,ZONE069,ZONE072,2025-12-25 05:19,10.6,108.23
1000387,ZONE096,ZONE025,2025-12-22 14:41,3.3,37.73
1000388,ZONE001,ZONE047,2025-12-19 06:19,29.8,344.83
1000389,ZONE067,ZONE099,2025-12-20 17:13,9.6,106.05
1000390,ZONE007,ZONE091,2025-12-24 23:22,4.2,51.01
1000391,ZONE017,ZONE006,2025-12-19 15:42,15.9,133.33
1000392,ZONE090,ZONE008,2025-12-23 20:56,39.7,330.94
1000393,ZONE016,ZONE034,2025-12-19 15:37,26.4,306.31
1000394,ZONE022,ZONE080,2025-12-23 02:47,40.2,359.26
1000395,ZONE005,ZONE014,2025-12-23 02:53,19.2,220.53
1000396,ZONE038,ZONE085,2025-12-20 20:15,37.7,353.18
1000397,ZONE010,ZONE019,2025-12-25 05:10,43.1,440.05
